Canonical_Smiles,Label
CC(C)=C(c1ccncc1)c1ccc(-c2cccc(N)c2)cc1,0
Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,0
O[C@]1(c2ccc(Cl)cc2)C[C@@H]2CC[C@H](C1)N2Cc1coc2ccc(F)cc12,0
CCc1ccc(C2CC(C(=O)Nc3ccccc3)CN(C(=O)C(C)(C)CF)C2)cc1,0
CN[C@H](C)c1ccc(-c2c(O)cc(Cl)c3[nH]c(=O)c4sccc4c23)cc1,0
CCOC(=O)/C(=C/c1ccc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)cc1)CC,0
CCn1ncc2c(NC3CCOCC3)c(C(=O)Nc3ccc(F)cc3)cnc21,0
C[C@H](c1ccc(C(=O)NCCC(=O)O)cc1)N1C(=O)C(c2cccc(C3CC3)c2)=N[C@]12CC[C@@H](C(C)(C)C)CC2,0
CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,0
NC1(c2ccc(-c3nc4cc(-c5ncc[nH]5)ccn4c3-c3ccccc3)cc2)CCC1,0
CCCc1c2c(nc(-c3ccccc3)c1C(=O)OCC)CCSC2=O,0
Cc1nn(C2CCOCC2)c2sc(C(=O)N[C@H]3CC[C@H](N4CCC(O)CC4)CC3)cc12,0
COC(=O)[C@@H]1CCCN1CCOc1ccc(Cc2ccccc2)cc1,0
O=C(/C=C/c1ccc(Sc2ccccc2OC2CCSCC2)c(C(F)(F)F)c1C(F)(F)F)N1CCOCC1,0
COCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2ccccc2c1,0
CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,0
CC1=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C(C)C1C(=O)NC[C@H](O)CN1CCOCC1,0
O=C(Oc1cccnc1)N1CCC(c2nc(C3=NOC(c4ccccc4)C3)cs2)CC1,0
CCCCN(CCCC)C(=O)c1nn(-c2ccc(C(=O)NS(=O)(=O)c3ccc4ccccc4c3)cc2C(=O)N2Cc3ccccc3C[C@H]2CN2CCCC2)c(C)c1Cl,0
Cc1ccc(S(=O)(=O)NCCCN(C)C)cc1,0
COCCN(C)CCn1c(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)OCO3)cc(C(=O)N(c2ccc(O)cc2)c2cnn(C)c2)c1C,0
COC(=O)/C=C/c1ccc2nn3cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nc3c2c1,0
O=S(=O)(Nc1ccc(C(Cc2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)cn1)c1ccccc1,0
Nc1ccccc1NC(=O)c1ccc(CNc2nc(NCCN3CCOCC3)nc(NC3Cc4ccccc4C3)n2)cc1,0
O=C(CCN1CCC(c2ccccc2)CC1)NCc1nc2cc(Cl)c(Cl)cc2[nH]1,0
CN(CCCc1ccc(F)c(F)c1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,0
Cc1sc2nc(NC(C)C)oc(=O)c2c1C,0
O=C(CN[C@H]1CCNC1)N1CCC[C@H]1B(O)O,0
COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,0
O=C(O)CCCCO/N=C(/c1cncnc1)c1cccc(C(F)(F)F)c1,0
CCc1oc2c(Br)c(O)c(Br)cc2c1C(=O)c1ccc(OC)cc1,0
COCCNc1cc(-c2ccccc2Cl)c(N(C)C(=O)C(C)(C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cn1,0
CCCC(c1nncn1C)N(Cc1ccccc1Cl)c1ccc(C#N)c(Cl)c1,0
CCOCCCC[C@@](O)(c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,0
O=C1NC(=O)[C@](C#Cc2cccnc2)(CN2Cc3ccc(I)cc3C2=O)N1,0
Cc1cccc2nc(C(=O)N[C@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(O)cc5CN5CCCOCC5)c4)CC3)cn12,0
O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C1CC1)C1CCC1,0
C[C@H]1CCNC(=O)c2cc3ccc(C(=O)Nc4nc5ccccc5n4CCCN(C)C)cc3n21,0
Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCCNC4)nc23)c(C(F)F)n1,0
Nc1ncnc(N2CCN(C(=O)C(N)Cc3ccc(Cl)cc3)CC2)c1Br,0
Oc1ccc2c3c1O[C@H]1C4=C(C[C@@]5(O)[C@@H](C2)N(CC2CC2)CC[C@]315)C(c1ccccc1)C1=C(O4)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1,0
CC(C(=O)NCc1ccc(C(F)(F)F)cc1N1CCCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,0
CC(C)[C@H]1SC(N[C@H]2C[C@@H]3CC[C@H]2C3)=NC1=O,0
COCCCN(C)c1ncc(Cl)c(N2CC[C@@H](Oc3ccc([C@H](C)NC(C)=O)cc3)C2)n1,0
CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2ccccc2)cc1,0
O=C(NCc1ccc(F)c(F)c1)c1c(C2CCCC2)n(Cc2ccccn2)c2ccc(O)cc12,0
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(-c4ccccc4)cc3)nn12,0
Fc1ccc2c(c1)Cc1c-2[nH]c2ccccc12,0
Cc1ccc2c(OCCN3CCC(Cc4cccc(NC(=O)C(C)C)c4)CC3)cccc2n1,0
O=C(CCCCC1CCSS1)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,0
O=C1Cc2c(cccc2N2CCN(CCCCNC(=O)c3ccc4ccccc4c3)CC2)N1,0
Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccc(C(=N)N)s1,0
Nc1ccc(N2CCCC2)cc1NC(=O)c1cccnc1,0
CC[C@@H](Nc1cccc(CN2CC(C(=O)O)C2)c1)c1ccc(Cl)c(C)c1,0
CC(=O)Nc1cc(-c2cccc(C#N)c2)nc(-n2nc(C)cc2C)n1,0
COc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@H](Nc3ccc(C(F)(F)F)cn3)[C@@H]2C)c1,0
Cc1cnc(N2CCC([C@H]3C[C@H]3CCOc3nc(C)cc(C#N)n3)CC2)nc1,0
CCCc1cccc(-c2cc(NC(=O)[C@H]3CNC(=O)C3)nn2-c2cccc(C)c2)c1,0
Cc1nccc(-c2ccc(C(=O)N3CCN(C4CC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,0
COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(C(=O)O)cc4)c3)cn3ccnc23)cc1OC,0
Cc1cc(C2CCC2)c(-c2nnc[nH]2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,0
C[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2nc(-c3ccc4cc[nH]c4c3)[nH]c2n1,0
O=C1CCc2cc(C(c3ccncc3)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc3c2N1CC3,0
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)Nc2cccc(C#N)c2)cc1,0
Cc1ccc(OCc2cccc(COc3ccc(C)cc3)[n+]2C)cc1,0
O=c1c2cccnc2ncn1Cc1nc(CC(O)c2ccc(Cl)cc2)no1,0
O=C(CCCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,0
O=C(Cn1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2Cl)n1)N1CCCCC1,0
Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCC(=O)NCCCN3CCCC3=O)cc2)cc1,0
O=C1OCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)c(F)cc21,0
O=C(Nc1cccc(NC(=O)c2ccc(F)cc2)c1)c1ccccc1,0
CN(C(=O)CN1CCOCC1)c1ccccc1-c1cnc(Nc2ccc(-c3cnco3)c(Br)c2)o1,0
CCC1CN(C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2nnn(C)n2)c2cc(C(F)(F)F)ccc2N1CC1CCCC1,0
Cl.Fc1ccc(Nc2nc(Cc3ccccc3)nc3c2CCNCC3)cc1,0
CN(C)c1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)C(C)(C)O)CC2)c(=O)n4C)cn1,0
O=C(O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3cccc(O)c3)c2)c(Br)c1,0
O=C(CCCCCCC(=O)Nc1cc2c(Nc3ccc(F)cc3F)ncnc2s1)NO,0
CC1CCCCN1CCCOc1ccc(-c2ccc(C#N)cc2)cc1,0
