Canonical_Smiles,Label
O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C(F)(F)P(=O)(O)O)c(F)c2)cc1,0
CC(=O)Oc1ccccc1C1=C(c2ccc(S(C)(=O)=O)cc2)COC1=O,0
CCc1cn2c3c(cc(C(=O)N[C@H](CN[C@H](C(=O)NCC(C)C)[C@H](C)O)Cc4ccccc4)cc13)N(C)S(=O)(=O)CC2,0
NC1=N[C@@](c2cc(NC(=O)c3ncc(Br)cc3N)ccc2F)(C(F)F)COC1,0
N=C(N)C[C@H]1CC[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)Cc2ccccc2)CC1,0
CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,1
Cc1[nH]c2c(c1C(=O)NCCCN1CCCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21,0
CN1C(=O)[C@]2(N=C1N)c1cc(C#N)ccc1CC21CCc2ccccc2CC1,0
CC1c2nc(C3CC3)n(C)c2CCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,0
Cc1ccc(-n2nc(C(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)cc1,0
CC(C)C[C@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,0
CC(C)C[C@H](NC(=O)CCN)c1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCCC2=O)CC1,0
C[C@H]1CCN(c2ccc(C(=O)N3CCC(F)(F)/C(=C\C(=O)NCCO)c4ccccc43)c(Cl)c2)C1,0
C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCC(N)=O)(c2ccc(F)cc2)OC1=O,0
CCc1[nH]c2ccc(OC)cc2c1CCN(C)C,0
CC(C)OC(=O)N1CCC(CO[C@H]2CC[C@H](c3ccc(S(C)(=O)=O)cc3)CC2)CC1,0
CC1(C)Cc2nc(C3CCCC3)c(C(=O)c3ccc(C(F)(F)F)cc3)c(C3CCN(C(=O)OCc4ccccc4)CC3)c2[C@@H](O)C1,0
Clc1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,0
CCN1C(=O)CC[C@H]1C(=O)NCc1cccc(Cl)c1Cl,0
N#C[C@@H]1CC(CO)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,0
CNC[C@@H](O)[C@H](c1cccc(F)c1)N1CC2(CCCCC2)c2ccccc21.Cl,1
CN1c2cc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)ccc2CS1(=O)=O,0
Cc1cc(NC(=O)c2ccc(-c3noc(C(F)(F)F)n3)cc2F)cc(C)n1,0
Cn1ncc2c(Oc3ccc(S(C)(=O)=O)cc3)cc(-c3cccc4[nH]ncc34)nc21,0
CN1C(=N)N[C@@]2(c3ccc(-c4ccc(F)c(C#N)c4)s3)CN(c3ccccc3)C[C@H]2C1=O,0
COc1cc(C(=O)NC2(C(=O)NC3CCc4cc(-c5cc(Cl)cc(F)c5-c5noc(C)n5)cc(F)c43)CC2)on1,0
Cc1cc(C)c(-c2nnc(OC3CCOC3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,0
CS(=O)(=O)c1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N)CC2)cc1,0
CN(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cn1)[C@H]1CCN(C(=O)N(C)[C@@H]2CCN(C3CCC(C)(C)CC3)C2)C1,0
CCC(C(=O)O)C1CCc2cc(OCCc3nc(-c4ccccc4)oc3C)c(-c3ccccc3)cc21,0
CCOc1c(/C(=C\C=C\C(C)=C\C(=O)O)C(F)(F)F)cc(C(C)(C)C)cc1C(C)(C)C,0
CCN1CCc2ccc(OCCCN3CCCCC3)cc2CC1,0
