Canonical_Smiles,Label
N[C@@H](COC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,0
O=C1N(Cc2ccccc2)c2ccccc2C12NNc1ccccc1O2,0
C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(S(=O)(=O)c2ccccc2)cc1,0
CN(CCNc1cc(-c2ccccc2)nc(N)n1)c1ccnc(N)n1,0
CCCCCCCCOC(=S)[S-].[K+],0
C[C@H](C1=C(CCN(C)Cc2nccs2)Cc2ccccc21)c1cnccn1,0
O=C(O)c1cc2c(s1)-c1cc(Cl)cc(F)c1OC2,0
CC(=O)NCCC/C=C/Cc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,0
COC(=O)C1(COc2ccc3ncc(F)c(CCC45CCC(NCc6ccc7c(n6)NC(=O)CO7)(CC4)CO5)c3n2)CC1,0
Cc1cccc(Cn2ccc(N)n2)c1,0
CO/N=C(\COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(CCN1CCC(C(=O)N2CCCC2)CC1)c1ccc(Cl)c(Cl)c1,0
Cc1c(C)n(Cc2ccc(-c3ccccc3C(=O)O)cc2)c2ccc(C(=O)N[C@@H](C)c3cccc(C(F)(F)F)c3F)cc12,0
Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1,1
CCOC(=O)C(CC)Cc1ccc(C(=O)NCc2ccccc2C)cc1,0
CN(C)c1ccc(N2C[C@H](CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,0
CCSc1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1,0
C[C@](O)(c1ccc(C(=O)N(C2CC2)[C@H]2CC[C@H](CC3(C#N)CC3)CC2)cc1)C(F)(F)F,0
CCCc1sc(-c2ccc(OCCO)c(OCCO)c2)nc1CSc1nc(N)cc(N)n1,0
COc1cc2nc3c(c(N)c2cc1OC)CCC(CNC(=O)c1ccco1)C3,0
O=c1cc(-c2ccccc2Cl)oc2ccc(OCCCCCCN3CCC(O)CC3)cc12,0
CC(C)(CC/C=C/Cn1ccc(=O)[nH]c1=O)NS(=O)(=O)c1cccc(OCC2CC2)c1,0
O=S(=O)(c1ccc2ccccc2c1)n1ccc2ccc(N3CCN4CCCCC4C3)cc21,0
CCc1noc(N)c1-c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0
Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,0
COc1cccc(-c2c(C(=O)Nc3ccc(Oc4ccnc5cc(-c6cn(C)cn6)sc45)c(F)c3)cnn2-c2ccccc2)c1,0
CC[C@H](C)CNC(=O)[C@@H](C[C@H](O)[C@@H](N)CN1CC(=O)N(c2ccccc2Cl)CC1(C)C)C(C)C.O=C(O)/C=C/C(=O)O,0
NS(=O)(=O)c1ccc(N2C(=O)CCC2=O)cc1,0
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(C(=O)c4ccccc4)CC3)cc2)cc1[N+](=O)[O-],0
N#C[C@@H]1C[C@H](F)CN1C(=O)[C@@H](N)Cc1cccs1,0
N#CO,0
c1cc2c3cnc(Nc4ccc(N5CCC(N6CCCC6)CC5)nn4)nc3n(C3CCCC3)c2cn1,0
O=C([C@@H]1Cc2ccccc2CN1C(=O)CCCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)N1CCCCC1,1
COc1cccc2c(S(=O)(=O)NC(=O)Nc3ncc(Br)s3)cn(C)c12,0
CS(=O)(=O)c1ccc(-c2c(-c3cccc(F)c3)nn3ncccc23)cc1,0
CN1CCc2nc(C(=O)N[C@@H]3CC[C@H](C(=O)N(C)C)C[C@@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1,0
N#Cc1cccc(NC(=O)N2CCC[C@@H]2c2cccc(C(=O)Nc3nc4c(s3)C[C@@H](N)CC4)c2)c1,0
CC(C)[C@H](NS(=O)(=O)c1ccc2oc3ccccc3c2c1)C(=O)O,0
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccccc4F)nc31)[C@H](O)[C@@H]2O,0
OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3nnc(C4CCCC4)s3)c2)[C@H](O)[C@@H](O)[C@@H]1O,0
CCOC(=O)N1C[C@H](CCc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)[C@@H](C(=O)O)C1,0
Oc1ccc(-c2nsc(-c3ccc(O)c(O)c3)n2)cc1O,0
CCC1CC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CCN1,0
C=CCc1cc(CCC(=O)OCC)ccc1C#CC1(O)CN2CCC1CC2,0
CC(=O)N1CCN(C(=O)c2cc(Sc3cnc(Nc4cccc(Br)n4)s3)ccc2C)CC1,0
CO[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12,0
Cc1cc(Cl)cc(COC[C@H](c2ccccc2)N(C)Cc2n[nH]c(O)n2)c1,0
Cc1c(C(=O)NCCN(C)C)cc(-c2ccc(-c3ccccc3)cc2)n1-c1ccc(S(N)(=O)=O)cc1,0
CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1ccc([N+](=O)[O-])cc1)C(=O)NO,0
CNc1ccc(C2(O)C(=O)c3ccccc3C2=O)cc1,0
CCOC(=O)c1coc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)n1,0
CN1CC[C@](O)(C#Cc2ccc3c(c2)-c2nc(C(N)=O)n(C)c2C2CC3C2)C1=O,0
CNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,0
N#Cc1cnc2c(NC3CC3)nc(Nc3cc(C(F)F)cc(N4CCC(C5COC5)CC4)c3Cl)nn12,0
Cc1c(F)ccc2c1c(=O)n(C[C@H]1CC[C@H](C(=O)O)CC1)c(=O)n2Cc1cccc(C(F)(F)F)c1C#N,0
CC(C)C(NC(=O)C1CCCN1C(=O)[C@@H](NC(=O)/C=C/c1ccc(C(=O)O)cc1)C(C)C)C(=O)C(F)(F)F,0
CCCCC/C=C/C=C1/C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O,0
