Canonical_Smiles,Label
Cc1cccc(-n2ncc3c2C(C)(C)CCN([C@H]2C4CC5CC2C[C@@](O)(C5)C4)C3=O)c1,0
N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc(C(N)=O)c4)c3O)nc2c1,0
COC[C@H]1Oc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2O[C@@H]1COC,0
Cn1c2c(c3ccc(-n4ccc(OCc5ccc(C(F)(F)F)nc5)cc4=O)cc31)CN1CCCCC1C2,0
COc1ccccc1NC(=O)c1ccc(NC(=O)CCc2nc3ccccc3c(=O)[nH]2)cc1C,1
O=C(c1occc1F)N1CC2CNCC2C1,0
CS(=O)(=O)N1CCC[C@H](Nc2nc(C#N)ncc2-c2cnc3[nH]ccc3n2)C1,1
CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCC[C@H]3COc3cccnc3)ccc21,1
COc1cc(C(N)=O)ccc1-n1nc(C(C)C)c2c(-n3cnc(-c4cccnc4)c3)ccnc21,0
CN1C(=O)CCc2ccc(NC(=O)N[C@@H]3CCOc4c3cccc4C(F)(F)F)cc21,0
COc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc6cc(C)ccc6n5)ccc43)cc2)cn1,0
CN1CCC(NS(=O)(=O)c2ccc3c(Cl)cnc(N=C(N)N)c3c2)(C(=O)O)CC1,0
Cn1cc(-c2ccc(N3CCC(n4ncc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,0
CNCCC(Oc1cccc2ccccc12)c1ccccc1C(F)(F)F,0
O=C(Nc1cc(Nc2ccc3c(c2)CCc2ccc(OC[C@@H](O)CO)cc2C3=O)ccc1F)c1ccccc1,0
CN(C#N)N(C)C(=O)CNC(=O)OCc1ccccc1,0
Clc1ccc2c(c1)CC/C2=C\c1ccncc1,0
O=C(/C=C/c1cccc(S(=O)(=O)n2ccc3cccnc32)c1)NO,1
COc1ccccc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)cc1C)N(c1cccc(Cl)c1F)C2=O,0
CC(C)CC(=O)C1C(=O)C(=O)N(c2ccc(-c3ccon3)cc2)C1c1ccccc1OC(F)F,0
COCCN(C)C(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,1
Cl.O=C(O)C1CCCCN1CCC=C(c1sccc1COC1CCCCC1)c1sccc1COC1CCCCC1,0
CCCc1nc(CC)c(C(=O)OCC#CC(=O)N(c2ccccc2)c2ccccc2)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0
Cc1cc(-c2cccc(OC(F)(F)F)c2)ccc1NC(=O)C1=C(C(=O)O)CCC1,0
N=C(N)c1nnc(CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)s1,0
COCCc1nnc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)s1,0
C=C=CCOc1ccc(S(=O)(=O)N(C)C(C(=O)NO)C(C)C)cc1,0
COc1cc(CCc2cc(Nc3ncnc4cc(N5CCC(N(C)C)C5)ccc34)n[nH]2)cc(OC)c1,0
