Canonical_Smiles,Label
CNCCCC1(C)Cc2ccccc2N(c2cc(F)cc(F)c2)C1=O,0
CCCCCC1(OC)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,0
CC[C@@H]1C[C@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2nnn(C)n2)c2nc(C(F)(F)F)ccc2N1CC(C)C,0
COC(=O)c1cccc(S(=O)(=O)N2C(=O)CN(c3ccccc3)C2=O)c1,1
COc1ccc(C(=O)N[C@@H](Cc2ccccc2)c2nc(-c3ccc4c(N)n[nH]c4c3)c(Cl)[nH]2)c(F)c1,0
N[C@H]1CCCC[C@H]1Nc1cc(-c2cccc(NCc3cccc(F)c3)n2)c(Cl)cn1,0
CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(F)ccc2F)c1,0
Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccc(Oc2ccccc2)cc1)Cc1cccc(CCCC(=O)NCCO[C@H]2CC[C@]3(C)[C@H]4C[C@H](O)[C@@]5(C)[C@@H](CC[C@@H]5[C@H](C)CCC(=O)O)[C@@H]4[C@H](O)C[C@@H]3C2)c1,0
CC(C)CC[C@@H]1C[C@H](N(C)C(C)C)CC[C@@H]1NC(=O)CNC(=O)c1cccc(C(F)(F)F)c1,1
CCC1(CC)CS/C(=N\c2ccccc2C(C)C)N(C(=S)SC)C1,1
CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)NCC6CCCCC6)cc5)cnc34)cc2)CC1,1
CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCNC3=O)C(=O)N2,0
O=C(NC1C2CC3CC(C2)CC1C3)N1CCC2(CCc3ccccc32)CC1,0
O=c1[nH]c2ccc(-c3cccc(O)c3)cc2cc1-c1cc2cc(CN3CCCCC3)ccc2[nH]1,0
Cc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2C(=O)O)nc1C,1
FC(F)(CNc1nccc2oc(Cc3cc(Cl)ccc3-n3cncn3)nc12)C1CCCCN1,1
CC[C@]1(O)CC[C@H](c2cccnc2Oc2ccc(C(=O)c3nc4ccccc4[nH]3)cc2)CC1,0
CCCc1cc(=O)c2cc(OS(N)(=O)=O)ccc2o1,1
Cn1cc(N2C(=O)c3n[nH]cc3C2c2ccc(Cl)cc2)cc(Cl)c1=O,0
Cc1ccccc1C(=O)N1CCC(N2CCN([C@@H](C)c3ccc(Cc4ccc5c(c4)OCO5)cc3)[C@@H](C)C2)CC1,1
C[C@H]1C2Cc3ccc(C(=O)N(C)CCc4ccc(-c5ccccc5)cc4)cc3[C@@]1(C)CCN2CC1CC1,1
Cc1cccn2nc(CCc3nc(-c4ccccc4)cn3CCN3CCOCC3)nc12,0
CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c2Cl)OC(C)C3)cc1,1
C[C@@H]1NC(c2cccc(=O)[nH]2)=N[C@@]1(c1ccc(F)cc1)c1ccc(F)nc1,1
NS(=O)(=O)c1cnc(Sc2c(F)c(F)cc(F)c2F)c(C(=O)NCc2ccccn2)c1,1
CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)N1CCC(NS(=O)(=O)c2cc(S(=O)(=O)c3ccccc3)ccc2C(F)(F)F)CC1,0
CC(C(=O)NO)N(Cc1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,0
CN(Cc1ccc(-c2ccccc2)cc1)S(=O)(=O)CC(=O)NO,0
Cc1cc(C(=O)O)nc(N2C[C@H]3C[C@@H](c4ccccc4C(F)(F)F)C[C@H]3C2)n1,0
Cc1cc(C)c(CNC(=O)c2cc(Br)nc3c2cnn3C2CCN(C(=O)C(C)(C)C)CC2)c(=O)[nH]1,0
CC(C)(O)c1cc2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)c2s1,0
CCc1cc2c3c(N)nc(N)nc3ccc2n1C(C)(C)C,0
Cc1ccccc1-c1cccc(CNc2ccc(CCC(=O)O)cc2)c1,1
Oc1cccc2c1CC(Cc1ccncc1)C2,0
Nc1cnc(-c2ccc(-c3ccccc3NS(=O)(=O)C3CCC3)cc2F)cn1,0
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,1
CC1CCCN(C(=O)Nc2ccc(OC(F)(F)F)cc2)C1,0
CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CC[C@@H](O)[C@H](O)C2)CC1,1
CC1(C)C[C@@H](NC(=O)Nc2ccc3c(c2)NC(=O)CO3)c2ccc(F)cc2O1,1
CCCCOc1ccc(Cc2cc(C3CCN(C[C@H]4CN([C@@H](C(=O)O)[C@H](C)CC)C[C@@H]4c4cccc(F)c4)CC3)n(CC)n2)cc1,1
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2cc(-c3ccc(O)cc3)ccc21,1
CCC1COc2cccc3c(=O)c(C(=O)N(C(C)C)C(C)C)cn1c23,1
CN(C)Cc1ccc(CSCCNc2nnccc2[N+](=O)[O-])o1,1
O=C(OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@@H]3[C@H]2[C@](O)(CO)C[C@H]3OC(=O)c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O)c1ccc(O)cc1,0
CC(C)(CO)NCC(=O)N1C[C@@H](F)C[C@H]1C(=O)c1nnc(C(C)(C)C)o1,1
Cc1c(Nc2c(C#N)cncc2/C=C/c2ccc(S(=O)(=O)N3CCCC3)cc2)ccc2[nH]ccc12,0
Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(N3CCC4(CC3)CNC(C(=O)O)C4)nc(C)n2)C(F)(F)F)n1,0
C[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c1ccccc1,1
NC(=O)c1ccc(-n2nc(C(F)(F)F)c3c(-c4cnc5ccccc5c4)ccnc32)cc1N[C@H]1CC[C@H](O)CC1,0
C=CCc1ccc(O)c(-c2ccc(OC)c(CC=C)c2)c1,1
O=C(N/C=C/c1ccc(F)c(F)c1)C(c1csc2ccc(Cl)cc12)P(=O)(O)O,0
COc1cccc(NC(=O)NC2N=C(c3ccccc3)c3ccccc3N(CC(=O)N3CCN(C)CC3)C2=O)c1,1
CNC(=O)CC(CCc1ccc(C(=N)N)cc1)c1cccc(C(=N)N)c1,1
CCCc1ccccc1C(C)OC1=NCCN1,1
COc1cccc(CC(Cc2ccc(NS(=O)(=O)O)cc2)(c2nc(C)no2)c2nc(C)no2)c1.N,1
C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,0
Fc1ccccc1-c1nc(COc2ccc3c(c2)C(N2CCN(C4CCCC4)CC2)CC3)no1,1
Cl.O=C1C(c2ccccc2)=COC12CCN(Cc1ccccc1)CC2,1
O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(c2nc3cc(Cl)c(-c4ccc(OC(F)(F)F)cc4)cc3o2)CC1,0
COC(=O)Nc1ccc2c(c1)CCC/C=C/C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,0
O=C(CCCCCCS)Nc1nc(-c2cccc(F)c2)cs1,0
COc1ccc(Nc2nnc(SCc3ccccc3C)[nH]2)cc1OC,1
CC(c1cccnc1)c1cc2c3c(c1)CCN3C(=O)CC2,0
Cc1ccncc1-c1cccc2c(-c3ccc(F)cc3)noc12,0
CN1CC[C@@](O)(C#Cc2ccc3c(c2)-n2nc(C(N)=O)c(C(F)(F)F)c2[C@H](F)CO3)C1=O,0
C[C@@H]([C@@H](O)c1ccccc1)N(C)C[C@H](O)[C@@H](C)NC(=O)Nc1cccc(-c2nnnn2C)c1,1
Cc1cc(/C=C/c2ccc(Cl)cc2)cc(C)c1O,0
COc1ccccc1N(C(=O)Oc1c(C)cccc1C)c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,1
