Canonical_Smiles,Label
CCN(C(=O)c1ccc(CNc2nc(NCCN(C)C)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1,0
CCCCC#Cc1nc(NCc2cccc(Br)c2)c2ncn([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,0
CC(C)C1SC(Nc2ccc(Oc3ccccc3)cc2)=NC1=O,0
CC(C)(C)c1ccc(S(=O)(=O)N2CCN(c3ccccc3C(F)(F)F)CC2)cc1,0
CC(C)(C)SCC[C@H]1NC[C@@H](O)[C@H](O)[C@H]1O.Cl,0
CS(=O)(=O)c1cc(-c2ccc(C[C@@H](C#N)NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)c(F)c2)ccc1F,0
CC1Nc2ccc(-c3cccc(Cl)c3)cc2C(C)(C)O1,0
CC(C)C[C@H](NC(=O)CCN(C)C)c1cc(Cl)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1,0
CCOC(=O)N1N=C(c2ccccc2O)CC1c1ccc(OC)cc1,0
COc1cccc(CNC(=O)c2cn(CCCO)c3cc(-c4cn[nH]c4)ccc23)c1,1
O=C(O)c1cc(F)cc2[nH]c(-c3c(F)cc(-c4ccccc4)cc3F)nc12,0
COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1OC,0
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1cccc(C(=N)NO)c1,0
CC(C)(C)c1ccc(CN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1.Cl,0
O=C(N[C@@H](COc1ccc2[nH]c(=O)[nH]c2c1)c1ccccc1)c1cccn(Cc2ccc(F)c(F)c2)c1=O,0
CCN(C/C(=N\OC)[C@H](CCN1CCC(n2c(=O)n(Cc3ccccn3)c3ccccc32)CC1)c1ccc(Cl)c(Cl)c1)C(=O)c1cc(Cl)cc(Cl)c1,0
O=C(CSc1nc2ccccc2n1CCc1ccccc1)c1ccc(O)c(O)c1,0
CC12C[C@H](O)C(C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(I)c3)C(=O)[C@@H]12,0
CC(C)N(CCN(C(=O)Nc1ccc(F)c(Cl)c1)[C@@H]1CC[C@]2(c3cccc(CN(C)C)c3)CC2C1)C(C)C,0
N#Cc1cnc2ccc(NCc3c[nH]cn3)cc2c1Nc1ccc(F)c(Cl)c1,0
Cc1nc(C(=O)NC23CC4CC(CC2C4)C3)c(C)n1-c1ccccc1,0
CCc1cc(-c2ncnc(CC)c2C#Cc2ccc(N)nc2)ccn1,0
CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)cc2C)n1,0
CNc1ncc2cc(-c3cc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)ccc2n1,0
C=CC[C@H](O)C1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,0
CCOc1cc(N2CCC(Oc3ccc([C@H](C)NC(C)=O)cc3)C2)ccn1,0
Cc1c(-c2nn(Cc3ccccc3)c(=O)c3ccccc23)c2cc(Cl)ccc2n1CC(=O)O,0
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCC(c3c(Br)ccc(Cl)c3F)=CC1=O)c1cc-2ccn1,0
C[C@@H](c1ccccc1Cl)N1CC[C@]2(CC[C@H](O)CC2)OC1=O,0
CC[C@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccc(OC(F)(F)F)cc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,0
O=C(NCc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,0
CCCCCC(=O)Oc1ccc(C[C@H](C)[C@H](C)Cc2ccc(OC(=O)CCCCC)c(OC(=O)CCCCC)c2)cc1OC(=O)CCCCC,0
O=C(O)CCNC(=O)c1ccc(Cn2nc(-c3cc(Cl)cc(Cl)c3)cc2-c2ccc(OC(F)(F)F)cc2)cc1,0
CCCC[C@@H](C[C@@H](CCc1ccc(-c2ccc(C#N)cc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O,0
CCn1c(-c2ccccc2-c2cccc(NCC(=O)O)c2)nc(-c2ccccc2)c1-c1ccccc1,0
COc1ccccc1-c1cn(-c2ccc(C[C@@H](C#N)NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)cc2)nn1,0
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)[C@H]2CC[C@@H](C3)N2S(C)(=O)=O)cc1,0
CS(=O)(=O)c1cc(Cl)c(NC(=O)N2CCN3C(=O)N([C@H]4C[C@@H]4c4ccccc4)C(=O)C3C2)c(Cl)c1,0
COC(=O)c1ccc(F)cc1CS(=O)(=O)Nc1ccc(C)n(CC(=O)N[C@H](CCCN=C(N)N)C(=O)O)c1=O,1
CCOC(=O)c1[nH]cc2nc3cc(OC)c(OC)cc3c-2c1CC,0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCOCC4)cc3OC(F)F)ncc2C(F)(F)F)c1,0
N=C(N)c1ccc2cc(Nc3ncccn3)ccc2c1,1
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC)[C@@H](O)[C@H]3O)c2n1,0
COc1ccccc1CCN1CCC[C@H]1C,0
CCCOc1ncc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c3n(nc2c(=O)[nH]1)CCCC3,0
O=C(CNc1ncnc2ccc(C(F)(F)F)cc12)NC1CN(C2CCCCC2)C1,0
Oc1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1,0
NC1=NC(OCc2ccc(Cl)nc2)c2[nH]cnc2N1,0
Fc1cc(-c2nccnc2C2CN(c3ccc4ccccc4n3)C2)ccn1,0
Cn1cc(-c2ccncc2)c(-c2ccc(OCc3cc(NCCF)c4ccccc4n3)cc2)n1,0
Cc1nc(-c2ccc(N3CCN(C)CC3)cc2)nc2c1CCN2CCCN1CCCC1,0
O=C(NCC(F)(F)F)Nc1cc(F)cc(-c2cnc3cc(-c4ncccn4)ccn23)c1,0
CC[C@H](C)[C@H](NC(=O)CN)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc3ccccc3)C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)[C@@H](C)O)[C@@H](C)O)CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC2=O)NC1=O)C(C)C,0
CNc1ncnn2c(C)nc(-c3cnn(C)c3-c3ccc(Cl)cc3)c12,0
CC1(C)C[C@@H](NC(=O)c2ccccc2N)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2O1,0
O=C1CN(S(=O)(=O)c2ccc(Cl)cc2)c2ccccc2-c2ccccc21,0
N=C(N)c1cccc(OCC(NC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c2ccccc2)c1,0
CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCOCC1,1
CCN(CC)CCNC(=O)c1c[nH]c(/C=C2\C(=O)Nc3cc(Nc4cccc(NC(=O)c5cc(N6CCN(C)CC6)cc(C(F)(F)F)c5)c4)ccc32)c1,0
Cc1cc(CC(C(=O)O)c2cn(CCCC(C)C)cn2)cnc1N,1
O=C(N[C@@H]1[C@@H](O)[C@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccc4ccccc4c3)[C@H]2O)O[C@H](CO)[C@@H]1O)c1ccc2ccccc2c1,0
CC[C@H](C)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1,0
C[C@H]1CN(CC2CC2)CCN1C(=O)N1Cc2c(NC(=O)c3ccccn3)n[nH]c2C1(C)C,0
CC(C)C(OC(=O)N[C@@H](Cc1ccccc1)C(=O)C(=O)NCc1cccs1)C(C)C,0
COCC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,0
COc1ncc(-c2ccccc2Cc2nc3c(cnn3C3CCOCC3)c(=O)[nH]2)cn1,0
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3ccc(C#N)cc3)cc1OC2(C)C,0
Cn1c(Nc2c(Cl)ccc(CNC(=O)C(C)(C)C)c2Cl)nc2cc(C(=O)N[C@H]3CC[C@H](C(F)(F)F)CC3)c(OCC(F)F)cc21,0
COc1ccc(/C=C/C=C/C(=O)c2cc(F)ccc2O)cc1,0
O=C(Nc1ccc(C(F)(F)F)cc1)NC1CCN(S(=O)(=O)CC(F)(F)F)CC1,0
