Canonical_Smiles,Label
Cc1n[nH]c2c(C)cc(C(=O)N3CCC4(CC3)Cc3cn(C(C)(C)C)nc3C(=O)N4C)cc12,0
CN(Cc1nc2c(N3CCOCC3)nc(-c3cnc4ccccc4c3)nc2n1C)c1ncc(C(=O)NO)cn1,0
CCn1nc(Cc2cccc3ccccc23)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1,0
O=C(c1cc2[nH]c(=O)c3cnc(C4CCCCC4)n3c2cc1Cl)N1CCN(CCO)CC1,0
COc1cc(-c2nc3n(n2)CCC[C@H]3c2ccc(F)cc2C)ccc1-n1cnc(C)c1,0
CSc1nc2nc(-c3ccc(CN4CCC(c5n[nH]c(-c6cnccn6)n5)CC4)cc3)c(-c3ccccc3)cn2n1,0
COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cccc3C(C)C)CCN(C)CC2)c1,0
Cn1ncnc1-c1cc(Cl)ccc1Oc1ccc(S(=O)(=O)Nc2nccs2)cc1C#N,0
CCOc1ccc(S(=O)(=O)N2CCN(CCO)CC2)cc1-c1nc(O)c2nnc(C3CCCC3)n2n1,0
CCCC(=O)NC[C@@H]1CC1c1cccc2oc(CCCCc3ccccc3)cc12,0
CCOc1ccc(C[C@@H]2NC(=O)CCSSC[C@@H](C(=O)NC(C)(C)C(=O)N[C@@H](CC(C)C)C(=O)N3CCCC[C@@H]3C(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1,0
CCCc1cccc(-c2cc(NC(=O)[C@@H]3CNC(=O)C3)nn2-c2ccc(O)cc2)c1,0
COc1ccc(Cl)cc1S(=O)(=O)N1CCS(=O)c2ccc(C(=O)Nc3ccc(CC(=O)O)cc3)cc21,0
Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)[C@@H]4CCCN4)CC3)c2)n[nH]c(=O)c1C,0
O=S(=O)(c1ccc2ccccc2c1)n1ccc2ccc(N3CCN4CCCCC4C3)cc21,0
CC[C@@H](N)C(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1,0
CNC(C)c1cc(F)ccc1Oc1ccc(Cl)c(Cl)c1,0
CN(C)CCN(C)CCOc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)c2sc3ccccc3c12,0
CNC[C@@H](O)[C@H](c1ccc(OC)cc1)N(C)c1ccccc1,0
O=C(c1cccc2c(CN3CCOCC3)c[nH]c12)N1CCN(C2CCC2)CC1,0
O=C1CSC(c2cnccc2-c2ccc(Br)cc2)N1C1CCCC1,0
CN1CCC(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CCCCC5)CC4)cc3Oc3ccccc3Cl)cc2[N+](=O)[O-])CC1,0
Cc1ccc(-c2noc(C(C)(C)C)n2)cc1S(=O)(=O)N1CCOCC1,0
CN1C[C@@](C)(c2cc(F)cc(F)c2)N(CC#Cc2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)C12CCCC2,0
CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(C(=O)N(C)CCCC)cc(-c3ccccc3)n2)CC1,0
CC1(COc2cccc3ccc(-c4nnc5ccccn45)nc23)CCN(CCO)CC1,0
Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NC(C)c2ccccc2)cc1,0
Cc1cc(O)cc(C)c1C[C@@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)O)N(C)C,0
[3H]OC1CCCCC1N1CCC(c2ccccc2)CC1,1
Cc1ccc(F)cc1NC(=O)c1cc(O)c2cccc(NS(C)(=O)=O)c2n1,0
