Canonical_Smiles,Label
O=C(/C=C/c1ccc2nc(CCc3ccccc3)c(Nc3ccc4c(c3)OCO4)n2c1)NO,0
CC(C)C[C@H](NC(=O)NC(C(=O)O)c1ccc(O)cc1)C(=O)O,1
COC1CCC2(CC1)Cc1ccc(-c3ccc(F)c(C#N)c3)cc1C21N=C(N)N(C)O1,0
Cn1ccnc1C1CCN(C(=O)CCS(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1,0
Cc1cc(C)cc(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3nc4cc(C(=N)N)ccc4[nH]3)c2O)c1,1
Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,1
CC1(C)CCC[C@]2(C)[C@@H]([C@@H](O)CCO)[C@H]3CC[C@@H]2[C@H]31,1
c1cc2c3cnc(Nc4ccc(N5CCC(NC6CCC6)CC5)cn4)nc3n(C3CCCC3)c2cn1,0
O=C(NCc1nnc2ccccn12)c1cnc(Oc2ccc3c(c2)CCC(c2cccc(F)c2)O3)s1,0
CNc1c(Nc2cc(Br)ccc2OCC(=O)N2CCN(Cc3ccc(F)cc3)C[C@H]2C)c(=O)c1=O,0
O=C(Cn1nc2ccccc2n1)Nc1ccc(-n2nc(C(F)(F)F)cc2C2CC2)cc1,0
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2ccno2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,1
CN(C)c1ccc(-c2nnc(Nc3ncc(C(=O)NO)cn3)s2)cc1,0
O=C(NCCN1CCCC1)C1CCN(c2nc(-c3ccnc(NC4CCCCC4)c3)cc3cnccc23)CC1,0
CCc1nnc(-c2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)ccc2C2CCC2)[nH]1,0
O=C(c1cc(Br)c(Br)cc1NS(=O)(=O)c1cccc2nsnc12)N1CCCCC1,0
O=C(NC1c2ccccc2CC1O)c1cn(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)n1,0
COc1cccc(CN2CCc3cc4nc(N)sc4cc3CC2)c1,0
CO[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,1
CCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NN4CCc5ccccc5C4)cc3)nc2n(CCCOC)c1=O,0
CC(C)N(CC(O)COc1ccccc1C(=O)CCc1cccc2ccccc12)C(C)C,0
COc1ccc(NS(C)(=O)=O)cc1CN1CCC(=O)C(C(c2ccccc2)c2ccccc2)C1,0
C[C@H](N)C(=S)N1CCSC1,1
O=C(COc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2C#Cc2cccc(Cl)c2)cc1)NC12CC3CC(CC(C3)C1)C2,1
CCC1CC(n2cnc(CC(CCCN)C(=O)O)c2)C1,1
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C)cn2)nc(N2CCOCC2)nc1OCC#CCOC(=O)Nc1cnccn1,0
CCOC(=O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,0
Cc1sc(Cc2ccccc2)c(-c2ccc(-c3ccc(OS(=O)(=O)c4ccc(C(=O)O)c(O)c4)cc3)cc2)c1C,0
CC(CC1CCCC1)N1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(C(C)CC2CCCC2)c2ccccc21,0
C=C(C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C(C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCC(C)C,0
O=C(NC1CCN(C(=O)c2ccccc2)CC1)NC1CCN(C(=O)c2ccccc2)CC1,0
Cc1nnc2n1-c1c(Cl)cc(-c3cnccc3C3CC3)cc1CC2,0
CC1(C)C[C@@H](NC(=O)NCc2ccc(NS(C)(=O)=O)c(F)c2)c2ccc(F)c(F)c2O1,0
CC(=O)c1ccc(-c2cc(C(=O)N[C@H]3CCCNC3)c(NC(N)=O)s2)cc1,1
O=C(NCCC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(F)ccc2[nH]1,0
CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CC(N(C)C)C3)cc(-c3ccccc3)n2)CC1,0
COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,0
CN(C)CC1(c2cccc(C(F)(F)F)c2)CCCCC1,1
COc1cccc2c1C(=O)CC1(CCN(C(=O)c3ccc4[nH]c(-c5cccnc5)nc4c3)CC1)O2,0
CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCN(C)C)C(C)C,0
CN(C)CCCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(P(=O)(O)CP(=O)(O)O)cc3)nc21,0
CO/N=C(\CNCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,0
O=C(Nc1ccc2c(c1)OCO2)c1cc(-c2ccc(Br)cc2)on1,0
CNc1nc(N)nc2nc(-c3ccccc3C(F)(F)F)c(C)cc12,0
CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,0
CC12CCC3C(CCC4=CCCCC43C)C1C[C@@H](Br)C2=O,1
CCCn1c(=O)c(C#N)nn(C2CCCC2)c1=O,1
CCc1ccc(Cc2sc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(C)c2C)cc1,1
CC(/C=C/C1=C(c2cc3c(cc2C)C(C)(C)CCC3(C)C)CCC1)=C\C(=O)O,0
CNc1ccc(/C=C/c2cc3cc(OC)ccc3o2)cc1,1
Cc1cc(C2CCN(C(=O)[C@@H]3C[C@@](C)(N4CCOCC4)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(F)c(Cl)c2)n1,1
Cc1cnc(C(=O)N2CCC[C@@H](Nc3ccc(C(F)(F)F)cn3)[C@@H]2C)c(-c2ncccn2)c1,0
Cc1ccnc(N2CC3CN(C(=O)c4ccccc4-n4nccn4)CC3C2)n1,0
Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3cncc(CO)c3)CC[C@H]2C)c1,0
CC/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cc(F)c(F)c(F)c2)c(C(=O)OC)c1,0
Cc1ccc(F)c(S(=O)(=O)Nc2ccc(-c3nc(C4CC4)c4cn[nH]c4n3)cc2)c1,0
CS(=O)(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)P(=O)(O)CC1(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)CCCC1,0
CN1CCc2ccccc2Cc2cc(Cl)c(O)c(Cl)c2CC1,0
COc1ccc(-c2cccn3nc(Nc4cnn(C5CCOCC5)c4)nc23)cc1,0
COCc1ccccc1[C@@H]1C(C(=O)C(C)C)C(=O)C(=O)N1c1ccc(-c2cccs2)cc1,0
Cc1ncoc1-c1nnc(SCCCN[C@@H]2CC[C@]3(c4ccc(C(F)(F)F)cc4F)CC23)n1C,0
[2H]C(Nc1cc(C(F)(F)F)cc2ncc(N3CCN(C)CC3)cc12)c1cccc([N+](=O)[O-])c1,0
CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)N(C)CCO)c1ccc(F)cc1F,0
CC(C)C[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O,0
CCCc1nc(CC)c(C(=O)OC(C(=O)c2ccccc2)c2ccccc2)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1F,1
CN1C2CCC1[C@H](c1ccccc1)[C@H](c1ccccc1)C2,1
Cc1ccc(NC(=O)C(C)(C(F)(F)F)C(F)(F)F)cc1S(=O)(=O)N1CCOCC1,0
COCC1=C(C(=O)OC)C(c2ccc(F)c(F)c2)N(C(=O)NCCCN2CCC(C#N)(c3ccccc3F)CC2)C(=O)N1,0
COc1ccc2c(c1O)C13CCN(C)C(C2)C12C=CC1(OC)[C@H]3N=C(c3ccccc3)[C@]1(C)C2,0
O=c1c(O)cc(C2Oc3cc(O)cc(O)c3CC2O)cc2c(C3Oc4cc(O)cc(O)c4CC3O)cc(O)c(O)c12,0
CCCCCCCCOc1ccc(NC(=O)ON=C(C)C)cc1,0
Cc1cc(N2CCCCC2)c2cccc(OCc3c(Cl)ccc(N(C)C(=O)CNC(=O)/C=C/c4ccc(NC(=O)c5ccncc5)cc4)c3Cl)c2n1.Cl,0
C[C@H]1O[C@@H](n2cc(-c3ccccc3)c3c(NCC(=O)Nc4ccc(Cl)cc4)ncnc32)[C@H](O)[C@@H]1O,0
NC1CCN(c2cncc(-c3cc4c(-c5ccccc5F)n[nH]c4cn3)n2)CC1,0
CN1C(=N)NC(c2cccnc2)(c2cccc(-c3cccc(Cl)c3)c2)C1=O,0
Cc1ccc(N2CNC(=O)C23CCN(C2Cc4cccc5cccc2c45)CC3)cc1,0
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)Nc2ccc(C(=O)O)cn2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,0
CC(C)C(=O)N[C@@H]1CCN(c2cccc3c2CCO3)C1,0
CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)Cn1nnnc1S,0
Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3CCOCC3)ccnc21,1
CC(C)[C@H]1COC(=O)N1c1nc(N[C@@H](C)c2ccc(CN3C[C@H](C)O[C@H](C)C3)cc2)ncc1F,0
CNCCC(Oc1cccc2ccccc12)c1cccs1,1
O=S(=O)(c1ccc2ccccc2c1)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0
O=C(O)CCNC(=O)c1ccc(-c2cc(C(F)(F)F)ccc2CNc2ccc(-c3cccc(F)c3)cc2)cn1,0
COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCN(C)CC5)o4)ccc23)c(Cl)cc1Cl,0
C[C@@H](c1ccccc1)N1[C@H]2CC[C@@H]1C[C@@H](Oc1cccc(C(N)=O)c1)C2,0
N#Cc1cnc(NC(=O)Nc2ccc(CCNCCc3ccc(F)cc3)c(Cl)c2)cn1,1
O=S(=O)(c1ccc(F)cc1)N(Cc1ncc[nH]1)c1ccccc1-c1ccccc1,0
Clc1ccc(-c2cc(C3CCN(CC4CCCCC4)CC3)[nH]n2)cc1,0
CC[C@@H]1CN2CCc3c([nH]c4cccc(OC)c34)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,0
CC(C)C[C@H](N)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)N2CCNCC2=O)CC1,0
CC(S)C(=O)NCC(=O)O,0
CC(C)[C@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)NC(=O)OCCN(C)C,0
CC1CN(c2nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@H](C)[C@@H](C)O1,0
Clc1cccc(C(c2ccc3[nH]cnc3c2)n2ccnc2)c1,1
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(Cc3ccccc3)cc2)c1,1
O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2ccc(F)cc2)CC1,0
O=C(c1ccc(Cl)c(C(F)(F)F)c1)N1CCN(c2cc(=O)[nH]c(=O)n2Cc2ccc(OS(=O)(=O)c3cccc4cnccc34)cc2)CC1,0
O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCN(C3CCC3)CC2)ncn1,1
O=c1c(Br)c(OCc2ccc(F)cc2F)cc(CN2CCOCC2)n1-c1c(F)cccc1F,0
CN(C)N=Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0
Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc(C#N)cc1,0
O=C(Nc1ccc(C2OCCO2)cc1)n1sc2ccccc2c1=O,0
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,0
FC(F)(F)c1cc(COCC2(c3ccccc3)CCCNCCC2)cc(C(F)(F)F)c1,1
COC(C)C1CCCN1c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,0
Cn1c2ccccc2c2c3c(c4c(c21)CCC4)C(=O)NC3,0
COC(C(=O)O)C1CCc2cc(OCCc3nc(-c4ccccc4)oc3C)ccc21,1
C[C@H](CN1CCCC1)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,0
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CNC4CC4)cc3)nn3cccc23)n[nH]1,0
CS(=O)(=O)N1CCN(Cc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)CC1,0
CC(C)c1cc(-c2ccccc2)n[nH]c1=NCCC1CCN(Cc2ccccc2)CC1,1
Cc1cc(CC(NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2nccn2CCc2ccccc2)cc2cn[nH]c12,0
O=C(O)C[C@H](NC(=O)Cn1cccc(NC(=O)c2cccc3ccccc23)c1=O)C(=O)COc1ccccc1,0
C[C@@](NC(=O)c1ccsc1)(c1cn(C2(C#N)CC2)nn1)[C@H]1CC[C@H](C)CC1,1
CS(=O)(=O)n1cc2c(n1)CN([C@@H]1C[C@H](N)C(c3cc(F)ccc3F)N(CC(N)=O)C1)C2,0
COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,0
COc1ccc(-c2cc3c4ccccc4[nH]c(=O)n3n2)cc1,0
COCCN1CCC(Nc2cnc3ccc(C#CCNC(=O)c4cncn(Cc5ccc(F)c(F)c5)c4=O)cc3c2)CC1,1
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,0
CN1C[C@@H]2CN(c3ccc(-c4ccc5[nH]ccc5c4)nc3)C[C@@H]21,0
O=C(Cc1ccccc1)Nc1ccc(CCCCc2nnc(NC(=O)Cc3ccc(F)c(CN4CCNCC4)c3)s2)nn1,0
C#Cc1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,0
Cc1ccc(-c2nc(O)c(C=C3CCCCC3)s2)cc1,0
C#CCCCCOc1ccc2c(c1)NC(=O)CC2,0
COc1ccc(-c2cc(NC(=O)C3CCCCC3)nc(-c3ccc(OC)cc3)n2)cc1,0
CC(C)(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c2ccccc2)c2ccccc21,0
COc1cc(C2CCOCC2)c(C)cc1Nc1nc(Nc2ccccc2S(=O)(=O)C(C)C)c2c(C)[nH]nc2n1,0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=Cc5c(cnn5-c5ccc(F)cc5)C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COc1cnc2ccccc2n1,0
Fc1ccc(-c2csc(N/N=C\c3cccnc3)n2)cc1,0
CN1CCN=C1c1ccc(C(=O)N2CCN(S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3)CC2CC(=O)N2CCN(c3ccncc3)CC2)cc1,0
Cc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc2c1OCO2,0
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(C)cc1)N2C/C=C/CF,1
CC(=O)N(C)c1ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N2CC[C@H](F)C2)cc1.O=C(O)C(F)(F)F,0
CC[C@H]1C[C@H]2[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCCC=C12,1
CC(=O)NC(C)Cc1ccc(C#Cc2cccc(OC(C)C)c2)cc1,0
Cc1nc(/C=C/c2c(-c3ccccn3)nnn2C)sc1C(=O)NC(C)C,0
C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c2ccccn2)cc1,0
Nc1ccccc1NC(=O)c1ccc(-c2nnc(Cc3cccc4ccccc34)o2)cc1,0
CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCC[C@H]4C3)c(F)c2)c1C#Cc1ccc(N)nc1,1
CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2COC2)ncc1Cl,1
CS(=O)(=O)c1ccc(-c2noc(C3CCN(CCC(=O)N4CCC[C@H]4c4nc5cc(Cl)c(Cl)cc5[nH]4)C(=O)C3)n2)cc1,1
CNC[C@H](C)c1ccc(-c2c(OC)ccc3[nH]c(=O)c4sccc4c23)cc1,0
Clc1ccc([C@]23CCCC[C@H]2CNC3)cc1Cl,1
CCOC(=O)CN(C(=O)[C@H](CC(=O)NC[C@@H]1CCCN(C(=N)N)C1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCCC1.Cl,0
COc1ccccc1N1CCCN(c2ncnc3c2cnn3-c2ccccc2)CC1,0
CCN(CC)Cc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1O.Cl,1
Cc1nc(C)c2cc(-c3cc(O[C@H](C)[C@H]4CNC(=O)C4)c4cccnc4c3)ccc2n1,1
NCCCC(NC(=O)c1ccc(NCc2ccc3nc(N)nc(O)c3c2C(F)(F)F)cc1)C(=O)O,0
Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cccc(c23)N[C@@H]1c1ccc(F)cc1,0
CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,0
CN1CCN(c2ncc(C(=O)NCCCCCCC(=O)NO)cn2)C(c2ccccc2)C1,0
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N4C(=O)CCC4C(=O)NC4CC4)cc3)NC(=O)NC1=O)C2,1
CC(C)CN(CP(=O)(O)O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,1
Cc1nn(-c2c(F)cccc2F)cc1CN1CCC2(CC1)OCCc1cc(F)sc12.O=C(O)C(O)C(O)C(=O)O,0
C/N=C(\S)NCCCCC(NC(=O)C(CC(=O)N1CCOCC1)Cc1cccc2ccccc12)C(=O)NC(CC(C)C)[C@@H](O)CC(=O)N1CCOC(CCN)C1,0
O=c1[nH]nc2c3cc(CNCCN4CCOCC4)ccc3oc3cccc1c32,0
Nc1nonc1/C(=N\O)N1Cc2ccccc2C1,0
CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)C(=O)OC)C3)N(C)C(C)=O,0
CO[C@H](CCc1ccccc1)c1ccccc1OC[C@H](O)CN1CCN(c2ccc(F)cc2)CC1,0
CCOC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)/C(=C/C(C)C)CC(=O)NO,1
CCCc1cc2c(C(F)(F)F)noc2c(CCC)c1OC(C(=O)O)c1ccc(C(F)(F)F)cc1,1
C[C@H](N)C(=O)N1CC[C@]23CCN(CC4CC4)[C@H](Cc4ccc(O)cc42)[C@@H]3C1,0
O=C(Nc1cccnc1)c1ccc([N+](=O)[O-])cc1,0
O=S(=O)(Nc1ccncn1)c1ccc2c(-c3ccc(C(F)(F)F)cc3)nccc2c1,0
Cc1cc(-c2nc(-c3ccc4nc[nH]c4c3)no2)cnc1N1CCCCC1C,1
